Registre,Nom,Tipologia,Inscripció ,Capacitat,Adreça,Municipi,Districte,CP,Comarca,Telèfon,Titular,Qualificació,NIF
S10067,SAD Vivisol Ibérica,Servei d'ajuda a domicili,2019-05-27,0,"C.  Imaginació, 7-9 (Pol. Gavà Business Park)",Gavà,,08850,Baix Llobregat,,"Vivisol Ibérica, SLU",Entitat privada d'iniciativa mercantil,B62787809
S06755,Servei de suport a l'autonomia a la pròpia llar Sol del Solsonès,Servei de suport a l'autonomia a la pròpia llar per a persones amb problemàtica social derivada de malaltia mental,2007-03-01,0,"C.  Josep Maria de Segarra, 3, bxs",Solsona,,25280,Solsonès,973483683,Sol del Solsonès. Associació de Familiars de Malalts Mentals i Drogodependents,Entitat privada d'iniciativa social,G25511205
S01724,Equip Bàsic d'Atenció Primària. Consell Comarcal del Segrià,Servei bàsic d'atenció social,1992-09-16,0,"Av. Rovira Roure, 43",Lleida,,25006,Segrià,973230686,Consell Comarcal del Segrià,Entitat d'iniciativa pública,P7500008C
S00033,Hospital de Sant Jaume,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1988-04-19,69,"C.  Mulleras, 15",Olot,,17800,Garrotxa,972261800,Fundació Antic Hospital Sant Jaume d'Olot,Entitat privada d'iniciativa social,G17811886
S04986,Servei de suport mutu i atenció psicològica Gais positius,Servei de suport social als serveis socials especialitzats,2001-10-29,0,"C.  Violant d'Hongria, 156, bxs",Barcelona,3,08014,Barcelonès,932980642,Gais positius,Entitat privada d'iniciativa social,G60701000
S10104,Servei de Menjador Social Blancafort,Servei de menjador social,2019-07-04,40,"C.  Parlament de Catalunya, 16",Blancafort,,43411,Conca de Barberà,877911078,Ajuntament de Blancafort,Entitat d'iniciativa pública,P4302900H
S00291,Hogar Nuestra Señora de Lourdes (servei de llar residència),Servei de llar residència per a gent gran de caràcter temporal o permanent,1989-06-14,107,"Pge.Montseny, 2",Sant Just Desvern,,08960,Baix Llobregat,933711400,Hermanitas de los Ancianos Desamparados,Entitat privada d'iniciativa social,R5800033B
S03693,Servei d'acolliment temporal en famílies (SATFA),Servei experimental,1997-07-22,0,C.  Santa Maria de Comabella,Santpedor,,08251,Bages,938272300,Fundació Ampans,Entitat privada d'iniciativa social,G08444671
S02691,Servei de suport. Religiosas de María Inmaculada,Servei de suport social als serveis socials especialitzats,1995-02-07,0,"C.  Consell de Cent, 393",Barcelona,2,08009,Barcelonès,934878930,Religiosas de María Inmaculada,Entitat privada d'iniciativa social,R5800520H
S05741,Servei de suport ARLLE,Servei de suport social als serveis socials especialitzats,2003-11-17,0,"Pça.Sant Llorenç, 1",Lleida,,25002,Segrià,973261026,Associació d'Alcohòlics Rehabilitats de Lleida,Entitat privada d'iniciativa social,G25335068
S05576,Residencia San Lorenzo 3 (servei de residència assistida),Servei de residència assistida per a gent gran de caràcter temporal o permanent,2003-05-27,74,"C.  Àngela Roca, 4",Gavà,,08850,Baix Llobregat,936624711,"Residencia San Lorenzo, S.L.",Entitat privada d'iniciativa mercantil,B60880358
S05764,Residència la Palmera-Verneda (Disc. intel.lectuals),Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual,2003-11-28,8,"C.  Andrade, 213, 1r 1a i 2a",Barcelona,10,08020,Barcelonès,932662023,Fundació Pere Mitjans,Entitat privada d'iniciativa social,G58580143
S00421,Residència d'Avis de Capellades Fundació Consorts Guasch,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1989-12-14,83,"Psg.Concepció, 1-3",Capellades,,08786,Anoia,938010107,"Fundació ""Consortes Guasch""",Entitat privada d'iniciativa social,G08722340
S02200,"Centre de Dia per a Gent Gran ""Magdalena Miró""",Servei de centre de dia per a gent gran de caràcter temporal o permanent,1993-09-14,20,"C.  Tetuan, s/n",Vilanova i la Geltrú,,08800,Garraf,938115164,Fundació Privada Casa de Amparo,Entitat privada d'iniciativa social,G08369449
S04077,Pis Terapèutic Calàbria,Servei de llar amb suport temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,1998-10-01,4,"C.  Calàbria, 135, 1er 1ª",Barcelona,2,08015,Barcelonès,,Fundació Malalts Mentals de Catalunya,Entitat privada d'iniciativa social,G60168853
S04514,Residencia Merán,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2000-03-08,50,"Pge.Riu Mogent, 1",Badalona,,08915,Barcelonès,934604000,"Residencia Merán, SA",Entitat privada d'iniciativa mercantil,A61778486
S03488,Centre residencial Joviar,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1996-12-24,86,"C.  Camí Montcada, 90",Lleida,,25196,Segrià,973727181,"Centre Residencial Joviar, SL",Entitat privada d'iniciativa mercantil,B25370933
S02066,Equip Bàsic d'Atenció Social - Consell Comarcal del Baix Penedès,Servei bàsic d'atenció social,1993-05-04,0,"Pça.del Centre, 5, 1r pis","Vendrell, el",,43700,Baix Penedès,977157177,Consell Comarcal del Baix Penedès,Entitat d'iniciativa pública,P9300006E
S05316,Programa de suport a l'autonomia a la pròpia llar APRODISCA,Servei de suport a l'autonomia a la pròpia llar per a persones amb discapacitat intel·lectual,2002-10-07,0,"Av. Doctor Folch, s/n",Montblanc,,43400,Conca de Barberà,977861261,Associació Pro-Persones amb Disminució Psíquica de la Conca de Barberà,Entitat privada d'iniciativa social,G43069749
S03557,Servei ocupacional d'inserció Font del Ferro,Servei de centre de dia ocupacional d'inserció per a persones amb discapacitat intel·lectual (SOI),1997-03-13,14,"C.  Càceres, s/n de Ca n'Oriol",Rubí,,08191,Vallès Occidental,935887575,Ajuntament de Rubí,Entitat d'iniciativa pública,P0818300F
S09218,Mas Vella Terra Acompanya,Servei experimental,2016-02-03,14,"Rda.Agricultura, 9",Gurb,,08503,Osona,937273744,Fundació Privada Vella Terra,Entitat privada d'iniciativa social,G62813233
S02785,Centre d'esplai La Fageda,Servei de temps lliure per a persones amb discapacitat intel·lectual,1995-05-02,48,"Av. Onze de setembre, 20, bxs",Olot,,17800,Garrotxa,972267400,Fundació Privada de Serveis Assistencials de la Garrotxa,Entitat privada d'iniciativa social,G17535055
S10880,Pis Sta. Maria del Taulat,Servei de residència temporal per a persones adultes en situació d'exclusió social,2022-08-02,7,"C.  Pujades, 210, 2on 2ª",Barcelona,10,08005,Barcelonès,933446900,Càritas Diocesana de Barcelona,Entitat privada d'iniciativa social,R0800314G
S04832,Llar amb suport Voramar,Servei de llar amb suport temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,2001-04-19,4,"C.  Camí Ral, 15",Premià de Mar,,08330,Maresme,,"Treballadors de la salut mental, comunitat terapèutica de Malgrat, SCCL",Entitat privada d'iniciativa social,F08701625
S10238,"Pis c/ Nou de Santa Clara, 70D, 2n 1a",Servei de residència temporal per a persones adultes en situació d'exclusió social,2019-12-04,2,"C.  Nou de Santa Clara, 70D, 2n 1a",Manresa,,08241,Bages,938734928,Fundació del Convent de Santa Clara,Entitat privada d'iniciativa social,G65396517
S02021,UBASP Sector 3 - Consell Comarcal del Berguedà,Servei bàsic d'atenció social,1993-03-23,0,"c.  Pere III, 2",Berga,,08600,Berguedà,938213553,Consell Comarcal del Berguedà,Entitat d'iniciativa pública,P0800015J
S03969,Servei de transport adaptat per a persones disminuïdes. Consell Comarcal de la Ribera d'Ebre,Servei de transport adaptat,1998-05-18,0,"Pça.Sant Roc, s/n",Móra d'Ebre,,43740,Ribera d'Ebre,977401851,Consell Comarcal de la Ribera d'Ebre,Entitat d'iniciativa pública,P9300011E
S04247,Servei de centre de dia d'atenció especialitzada per a persones amb diminució Riudeperes,Servei de centre de dia d'atenció especialitzada temporal o permanent per a persones amb discapacitat intel·lectual,1999-04-28,12,"Ctr.N-141, Km 4 (Vic a Pantà de Sau, Finca St. Tomàs)",Calldetenes,,08519,Osona,938861322,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S09438,Transport adaptat Plana,Servei de transport adaptat,2017-06-09,0,"C.  Les Creus, 29",Constantí,,43120,Tarragonès,977206717,"Teresa y José  Plana Empresa Plana, SL",Entitat privada d'iniciativa mercantil,B43009091
S01367,Residencia Hermanas del Sagrado Corazón de Jesús y Santos Angeles (servei de llar residència),Servei de llar residència per a gent gran de caràcter temporal o permanent,1991-09-12,115,"C.  Bruc, 131-137",Barcelona,2,08037,Barcelonès,932081600,Asociación de las Hermanas del Sagrado Corazón de Jesús y Santos Angeles,Entitat privada d'iniciativa social,R0800334E
S05142,Centre de dia Europalau,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2002-04-19,15,"C.  Holanda, s/n Urbanització Urpasa",Palau-saverdera,,17495,Alt Empordà,972552130,"Europalau, SL",Entitat privada d'iniciativa mercantil,B17526138
S06318,Los Tilos. Centre de dia,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2005-09-16,25,"C.  Sardenya, 480-490",Barcelona,7,08025,Barcelonès,934507000,"Medin-1, SA",Entitat privada d'iniciativa mercantil,A58611278
S11130,Nanny Poppins House,Servei d'ajuda a domicili,2023-08-01,0,"C.  Arimon, 19, Local 2ª",Barcelona,5,08022,Barcelonès,657944639,Montserrat Dilla Tapia,Entitat privada d'iniciativa mercantil,43501634D
S03925,Llar residència Acudam,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,1998-03-30,24,"C.  Mestre Josep Capell, 29",Mollerussa,,25230,Pla d'Urgell,973712454,"Associació Comarcal Urgell d'Ajuda al Minusvàlid, ACUDAM",Entitat privada d'iniciativa social,G25014036
S05249,Residència - Casa Pairal Fundació Privada (servei de residència assistida),Servei de residència assistida per a gent gran de caràcter temporal o permanent,2002-07-24,50,"C.  Rosari, 59",Vilassar de Mar,,08340,Maresme,937590692,Casa Pairal Fundació Privada,Entitat privada d'iniciativa social,G58084955
S06996,Centre de dia Mimara El Pla de Santa Maria,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2007-12-27,10,"C.  Major, 27","Pla de Santa Maria, el",,43810,Alt Camp,977631817,Mimara el Pla Residencial SLU,Entitat privada d'iniciativa mercantil,B43704550
S06366,Servei de tutela Malla,Servei de tutela per a persones amb discapacitat intel·lectual,2005-11-04,0,"C.  Almogàvers, 68, 1er",Barcelona,10,08018,Barcelonès,934359270,"Malla, Associació Catalana Tutelar de Persones amb Discapacitat Psíquica",Entitat privada d'iniciativa social,G63743629
S00584,Serveis Socials d'Atenció Primària - Ajuntament d'Olesa de Montserrat,Servei bàsic d'atenció social,1990-05-11,0,"C.  Anselm Clavé, 191",Olesa de Montserrat,,08640,Baix Llobregat,937783300,Ajuntament d'Olesa de Montserrat,Entitat d'iniciativa pública,P0814600C
S04506,Centre de dia dels Munts,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2000-02-28,20,"Pça.Nova, 1",Sant Boi de Lluçanès,,08589,Osona,938578056,"Residència dels Munts, S.L.",Entitat privada d'iniciativa mercantil,B59842526
S07491,Servei d'atenció domiciliària - Fundació La Vall,Servei d'ajuda a domicili,2009-07-15,0,"Ctr.de Berga, 10",Sant Llorenç de Morunys,,25282,Solsonès,973492230,Fundació La Vall,Entitat privada d'iniciativa social,G25078130
S00528,Centre de Desenvolupament Infantil i Atenció Precoç Tris Tras (Osona Centre),Servei d'atenció precoç,1990-03-15,70,"C.  Sot dels Pradals, 5, bxs",Vic,,08500,Osona,938895144,Fundació Sant Tomàs,Entitat privada d'iniciativa social,G66918095
S10634,SAD Ajuda Social Lleida,Servei d'ajuda a domicili,2021-04-13,0,"Av. Fleming, 2 Es.esquerra, 1r 2a",Lleida,,25006,Segrià,609772763,Ajuda Social Lleida SLU,Entitat privada d'iniciativa mercantil,B01597749
S01580,Residència Canava,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1992-04-23,20,"C.  Bailèn, 46, pral. 1a i 2a",Barcelona,2,08010,Barcelonès,932652418,"Residencia Canava 2002, SL",Entitat privada d'iniciativa mercantil,B63103881
S03904,Servei de Suport de l'Església Evangèlica de Sant Joan Despí,Servei de suport als serveis socials bàsics,1998-03-16,0,"C.  Fortuny, 18-20",Sant Joan Despí,,08970,Baix Llobregat,933734051,Església Evangèlica de Sant Joan Despí,Entitat privada d'iniciativa social,R5800713I
S01066,Club Taller Pla d'Urgell,Servei de temps lliure per a persones amb discapacitat intel·lectual,1991-01-21,65,"C.  Ferrer i Busquets, 2",Mollerussa,,25230,Pla d'Urgell,973710404,"Associació Comarcal Urgell d'Ajuda al Minusvàlid, ACUDAM",Entitat privada d'iniciativa social,G25014036
S07678,Associació de Voluntaris Sant Camil,Servei de suport social als serveis socials especialitzats,2010-02-26,0,C.  Ronda Sant Camil - H.R.S. Camil,Sant Pere de Ribes,,08810,Garraf,938960025,null,null,null
S09561,Servei de valoració de la dependència-SEVAD,Servei de valoració a la dependència,2018-01-15,0,"C.  Hospital, 31",Mataró,,08301,Maresme,,Consorci Sanitari del Maresme,Entitat d'iniciativa pública,Q5856428G
S03763,Centre de dia per a gent gran de Trinitat Vella,Servei de centre de dia per a gent gran de caràcter temporal o permanent,1997-10-15,25,"C.  Madriguera, 38-42",Barcelona,9,08033,Barcelonès,933454561,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S04720,Servei de suport Fundació Marianao,Servei de suport als serveis socials bàsics,2000-11-21,0,"C.  Girona, 30",Sant Boi de Llobregat,,08830,Baix Llobregat,936303062,Fundació Marianao (casal infantil i juvenil de Marianao),Entitat privada d'iniciativa social,G61740627
S02214,Residencial Mensa,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1993-09-14,54,"C.  Joaquim Mensa, 18",Cervelló,,08758,Baix Llobregat,936841749,"Martodey, S.L.",Entitat privada d'iniciativa mercantil,B59767152
S00216,Residència 3a. Edat Sibelius,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1988-12-19,28,"C.  Juan Sibelius, 1",Barcelona,10,08026,Barcelonès,932324558,"Residència gent gran Sibelius, SL Unipersonal",Entitat privada d'iniciativa mercantil,B63205603
S09114,Servei d'ajuda a domicili del Consorci d'atenció a les persones de l'Alt Urgell.,Servei d'ajuda a domicili,2015-09-21,0,Pça.Solvevila,"Seu d'Urgell, la",,25700,Alt Urgell,973354102,Consorci d'atenció a les persones de l'Alt Urgell,Entitat d'iniciativa pública,P2500113B
S09534,Centre de dia per a la gent gran de Jorba,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2017-12-12,25,"C.  de la Llibertat, 1",Jorba,,08719,Anoia,938094000,Ajuntament de Jorba,Entitat d'iniciativa pública,P0810200F
S08762,Centre de distribució d'aliments de Salt (CDA de Salt),Servei de suport als serveis socials bàsics ( Distribució d'aliments),2014-03-26,0,"C.  Esteve Vila, 16, bxs",Salt,,17190,Gironès,972401727,Càritas Diocesana de Girona,Entitat privada d'iniciativa social,R1700016G
S09792,"Servei d'allotjament temporal social municipal de Sant Andreu de Llavaneres c/ Sant Antoni, 8",Servei d'acolliment residencial d'urgència,2018-11-29,6,"C.  Sant Antoni, 8, 1ª",Sant Andreu de Llavaneres,,08392,Maresme,937929280,Ajuntament de Sant Andreu de Llavaneres,Entitat d'iniciativa pública,P0819600H
S07100,Centre ocupacional Ametlla de Mar,Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),2008-05-13,20,"Psg.Marítim, 8, bxs","Ametlla de Mar, l'",,43860,Baix Ebre,977457185,Fundació Privada Mercè Pla,Entitat privada d'iniciativa social,G43542968
S10689,Servei d'Ajuda a Domicili de l'Ajuntament de Girona,Servei d'ajuda a domicili,2021-06-08,0,"Pça.Leonor Joher, 3 Bl.B",Girona,,17006,Gironès,,Ajuntament de Girona,Entitat d'iniciativa pública,P1708500B
S04109,Residència assistida per a gent gran Sant Vicenç de Castellet,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1998-11-24,60,"C.  Poeta Maragall, 20-22",Sant Vicenç de Castellet,,08295,Bages,938331426,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S05526,Asilo de Ancianos Hermanitas de los Pobres Casp (servei de residència assistida),Servei de residència assistida per a gent gran de caràcter temporal o permanent,2003-04-22,35,"C.  Casp, 73",Barcelona,2,08010,Barcelonès,932655227,"Asilo en Caspe, 73 - Hermanitas de los Pobres Curia Provincial",Entitat privada d'iniciativa social,R0800762G
S10019,Servei Suport a la pròpia llar malalts mentals Fundació Privada MAP,Servei de suport a l'autonomia a la pròpia llar per a persones amb problemàtica social derivada de malaltia mental,2019-04-15,0,"pol Ind. Els Pintors, 6-8",Ripoll,,17500,Ripollès,972703104,Fundació Privada MAP,Entitat privada d'iniciativa social,G17414905
S10861,Habitatge i Mes (HIM) 2-9,Servei d'acolliment residencial d'urgència,2022-07-04,3,"C.  Quito, 18 Es.A, 2on 9ª",Barcelona,9,08030,Barcelonès,934534019,Associació Prohabitatge,Entitat privada d'iniciativa social,G61964102
S05980,Llar Residència de Tarragona,Servei de llar residència temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,2004-07-19,30,"C.  Rebolledo, 3",Tarragona,,43004,Tarragonès,977338565,"Fundació Pere Mata, Fundació Privada",Entitat privada d'iniciativa social,G43576206
S05342,Servei bàsic d'atenció social primària Ajuntament de Sarrià de Ter,Servei bàsic d'atenció social,2002-10-24,0,"C.  Major, 71-73",Sarrià de Ter,,17840,Gironès,972170211,Ajuntament de Sarrià de Ter,Entitat d'iniciativa pública,P1719800C
S09941,Pis d'Urgència c/ Alfarràs,Servei d'acolliment residencial d'urgència,2019-03-21,10,"C.  Alfarràs, 1",Barcelona,9,08030,Barcelonès,933057173,null,null,null
S03814,Residència d'Avis Navàs (servei de residència assistida),Servei de residència assistida per a gent gran de caràcter temporal o permanent,1997-11-25,65,"C.  Castelladral, s/n",Navàs,,08670,Bages,938391236,Ajuntament de Navàs,Entitat d'iniciativa pública,P0814000F
S06029,Servei de suport Nuevo Pacto,Servei de suport social als serveis socials especialitzats,2004-09-16,0,"C.  Roger de Flor, 201",Sabadell,,08205,Vallès Occidental,607247567,null,null,null
S02819,Àrea Bàsica Serveis Socials del Gironès Sector 07 Celrà,Servei bàsic d'atenció social,1995-05-24,0,"Ctr.de Juià, 38",Celrà,,17181,Gironès,972493026,Consell Comarcal del Gironès,Entitat d'iniciativa pública,P6700003D
S03103,Llar-residència per a disminuïts Institució Pedagògica Ntra. Sra. de Montserrat,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,1996-03-06,48,"Rbl.Recolons, 56",Caldes de Malavella,,17455,Selva,972470100,Hermanas Hospitalarias Sagrado Corazón de Jesus. Centre Psicopedagògic Ntra. Sra. de Montserrat,Entitat privada d'iniciativa social,R1700645C
S02092,STO Campredó,Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),1993-05-14,80,"Ctr.Tortosa-Aldea -C42-, Km 7 (Campredó)",Tortosa,,43897,Baix Ebre,977597046,Fundació Privada Mercè Pla,Entitat privada d'iniciativa social,G43542968
S03111,Llar-residència Can Roure,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,1996-03-11,12,"C.  Avi Riera, 5, 3er",Vilassar de Dalt,,08339,Maresme,937508610,Fundació Privada Pro Persones amb Discapacitat Intel·lectual Catalònia,Entitat privada d'iniciativa social,G58682196
S04928,Servei de suport Ed,Servei de suport als serveis socials bàsics,2001-07-26,0,"C.  Santander, 49, Nau 13-14",Barcelona,9,08030,Barcelonès,933050380,Ed Asociación educativa socio laboral,Entitat privada d'iniciativa social,G61289708
S04182,Residencia 3ª Edad Virgen de Montserrat (servei de llar residència),Servei de llar residència per a gent gran de caràcter temporal o permanent,1999-02-12,7,"C.  Torrent, 39",Torrelles de Llobregat,,08629,Baix Llobregat,936890854,Montserrat Enríquez Teruel,Entitat privada d'iniciativa mercantil,33962747G
S10764,Serveis d'Aliments Càritas Santa Susanna,Servei de suport als serveis socials bàsics ( Distribució d'aliments),2021-10-21,0,"C.  Jaume I, 38",Santa Susanna,,08398,Maresme,628592613,Càritas Diocesana de Girona,Entitat privada d'iniciativa social,R1700016G
S05580,Servei de suport a l'autonomia a la pròpia llar-FPSAG,Servei de suport a l'autonomia a la pròpia llar per a persones amb discapacitat intel·lectual,2003-05-27,0,"C.  Mas els Casals, s/n",Santa Pau,,17811,Garrotxa,972680342,Fundació Privada de Serveis Assistencials de la Garrotxa,Entitat privada d'iniciativa social,G17535055
S00647,Llar Residència Auria I,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,1990-06-28,9,"C.  Nards, 7, bxs",Igualada,,08700,Anoia,938042661,Fundació Privada Auria,Entitat privada d'iniciativa social,G60136637
S04479,Centre de dia Alzina Residencial,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2000-01-18,1,"C.  Salvador Nonell, 8",Cunit,,43881,Baix Penedès,977160216,"Alzina Residencial, SL",Entitat privada d'iniciativa mercantil,B55598700
S02193,Residència Qüida'm,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1993-09-14,25,"C.  Creu del Padró, 17",Sant Just Desvern,,08960,Baix Llobregat,933725604,"Residencia Qüida'm, SL",Entitat privada d'iniciativa mercantil,B63541759
S10392,Llar amb Suport NORD I,Servei de llar amb suport temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,2020-07-14,4,"Pça.Del Nord, 1-2, bxs",Barcelona,6,08024,Barcelonès,934154617,"ARAPDIS, Associació per a la rehabilitació i adaptació de persones amb disminució de la seva capacit",Entitat privada d'iniciativa social,G58883588
S02735,Residència Sant Francesc,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1995-03-29,27,"C.  Sant Francesc, 10",Sabadell,,08202,Vallès Occidental,937275151,"Residencias Asistenciales, S.L.",Entitat privada d'iniciativa mercantil,B60331451
S07250,Xartex,Servei d'ajuda a domicili,2008-10-31,0,"C.  Juli Garreta, 11",Porqueres,,17834,Pla de l'Estany,972581570,"Xartex, SL",Entitat privada d'iniciativa mercantil,B17314154
S04374,Mejador Obra Social Benèfica de Castellar del Vallès,Servei de menjador social,1999-09-27,15,"C.  Mestre Ros, 7",Castellar del Vallès,,08211,Vallès Occidental,937145389,Obra Social Benèfica de Castellar del Vallès,Entitat privada d'iniciativa social,G08571846
S01864,Serveis Socials d'Atenció Primària - Consell Comarcal de l'Alt Penedès,Servei bàsic d'atenció social,1992-12-14,0,"c.  Hermenegild Clascar, 1-3",Vilafranca del Penedès,,08720,Alt Penedès,938900422,Consell Comarcal de l'Alt Penedès,Entitat d'iniciativa pública,P5800013D
S03485,Centre d'acolliment diürn de la Residència geriàtrica Montsacopa,Servei de centre de dia per a gent gran de caràcter temporal o permanent,1996-12-24,75,"C.  del Rengle, 1",Olot,,17800,Garrotxa,972260202,Consorci d'Acció Social de la Garrotxa,Entitat d'iniciativa pública,P6700012E
S03017,Residència per a gent gran Acayser del Carme (servei de residència assistida),Servei de residència assistida per a gent gran de caràcter temporal o permanent,1995-12-21,20,"C.  Carme, 64, prl",Barcelona,1,08001,Barcelonès,934434084,"Acayser Carme, SL",Entitat privada d'iniciativa mercantil,B66417346
S06028,"SAD ""El mar""",Servei d'ajuda a domicili,2004-09-16,0,"Pge.Buenos Aires, 11, bxs (Edifici Aloe)",Lloret de Mar,,17310,Selva,972361249,"Centre de dia El Mar, SL",Entitat privada d'iniciativa mercantil,B62356332
S05017,Centre de dia la Llar,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2001-11-20,1,"C.  Prat de la Riba, s/n",Sant Fost de Campsentelles,,08100,Vallès Oriental,935704891,"Geriplus, SL",Entitat privada d'iniciativa mercantil,B17466442
S02842,Servei de tutela de la Fundació privada catalana tutelar de discapacitats psíquics,Servei de tutela per a persones amb discapacitat intel·lectual,1995-06-20,0,"C.  Hipòlit Lázaro, 18, bxs 1ª",Barcelona,6,08025,Barcelonès,933394536,"La Tutela, Fundació Privada Catalana Tutelar de Discapacitats Psíquics i de persones grans",Entitat privada d'iniciativa social,G58071507
S06519,Llar residència Armengou,Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual,2006-06-08,7,"C.  Alcalde Armengou, 30-32, 1r A",Manresa,,08242,Bages,938272300,Fundació Ampans,Entitat privada d'iniciativa social,G08444671
S09606,SAD de l'Ajuntament de Tordera,Servei d'ajuda a domicili,2018-03-07,0,"Pça.de la Concòrdia, s/n",Tordera,,08490,Maresme,937642274,Ajuntament de Tordera,Entitat d'iniciativa pública,P0828400B
S02684,Servei de teràpia ocupacional Tallers Blancs II,Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),1995-02-07,24,"C.  Castillejos, 289, bxs",Barcelona,2,08025,Barcelonès,934556631,"Tallers Blancs, Societat Cooperativa Catalana Limitada",Entitat privada d'iniciativa social,F08713059
S02469,Equip d'Atenció a la Dona. Ajuntament de Barcelona,Servei de suport social als serveis socials especialitzats,1994-07-01,0,"C.  Marie Curie, 16",Barcelona,8,08042,Barcelonès,932564550,Ajuntament de Barcelona,Entitat d'iniciativa pública,P0801900B
